X,Y,Z,Xr,Yr,Zr,DateTime,ID
-741,-133,281,15176,4804,-3984,2019-11-02 16:51:44.016647,jimmy
-740,-104,280,15336,4752,-3948,2019-11-02 16:51:44.067422,jimmy
-730,-113,274,15312,4892,-3976,2019-11-02 16:51:44.090423,jimmy
-753,-121,257,15296,4644,-4064,2019-11-02 16:51:44.121831,jimmy
-714,-118,286,15300,4852,-4040,2019-11-02 16:51:44.146759,jimmy
-736,-114,297,15388,4768,-4020,2019-11-02 16:51:44.177517,jimmy
-738,-109,294,15232,4864,-3936,2019-11-02 16:51:44.209757,jimmy
-725,-140,276,15252,4856,-4024,2019-11-02 16:51:44.251337,jimmy
-747,-135,309,15428,5112,-4160,2019-11-02 16:51:44.290965,jimmy
-716,-130,282,15308,4780,-4052,2019-11-02 16:51:44.320829,jimmy
-719,-101,310,15244,4704,-4084,2019-11-02 16:51:44.361072,jimmy
-721,-114,305,15192,4756,-4008,2019-11-02 16:51:44.393988,jimmy
-731,-109,331,15344,4784,-4032,2019-11-02 16:51:44.419534,jimmy
-736,-120,316,15324,4916,-4008,2019-11-02 16:51:44.450057,jimmy
-736,-97,289,15184,4764,-4020,2019-11-02 16:51:44.482906,jimmy
-755,-144,245,15564,4616,-3844,2019-11-02 16:51:44.508716,jimmy
-724,-101,306,15384,4860,-3864,2019-11-02 16:51:44.532973,jimmy
-734,-126,268,15308,4712,-4072,2019-11-02 16:51:44.555999,jimmy
-752,-122,294,15312,4784,-4100,2019-11-02 16:51:44.579221,jimmy
-730,-112,329,15596,4908,-4168,2019-11-02 16:51:44.602194,jimmy
-730,-131,300,15276,4776,-4048,2019-11-02 16:51:44.625617,jimmy
-744,-115,298,15324,4884,-4156,2019-11-02 16:51:44.648572,jimmy
-728,-112,299,15316,4804,-4044,2019-11-02 16:51:44.671645,jimmy
-717,-129,305,15336,4772,-4092,2019-11-02 16:51:44.695974,jimmy
-733,-115,336,15300,5096,-4304,2019-11-02 16:51:44.719208,jimmy
-735,-115,267,15372,4868,-3992,2019-11-02 16:51:44.742356,jimmy
-728,-112,283,15392,4808,-4100,2019-11-02 16:51:44.765406,jimmy
-746,-126,283,15364,4772,-4176,2019-11-02 16:51:44.788537,jimmy
-739,-138,295,15248,4864,-4052,2019-11-02 16:51:44.822057,jimmy
-732,-109,303,15364,4892,-4092,2019-11-02 16:51:44.854378,jimmy
-739,-126,295,15456,4860,-4128,2019-11-02 16:51:44.885473,jimmy
-728,-99,314,15364,4752,-4016,2019-11-02 16:51:44.917461,jimmy
-725,-125,296,15268,4664,-3872,2019-11-02 16:51:44.950577,jimmy
-748,-122,258,15552,5084,-3960,2019-11-02 16:51:44.974333,jimmy
-742,-122,315,15204,4808,-4020,2019-11-02 16:51:44.997559,jimmy
-739,-130,289,15364,4636,-4080,2019-11-02 16:51:45.021323,jimmy
-749,-143,271,15368,4840,-3980,2019-11-02 16:51:45.045557,jimmy
-715,-99,342,15324,4864,-4084,2019-11-02 16:51:45.069508,jimmy
-742,-122,297,15372,4776,-4068,2019-11-02 16:51:45.092603,jimmy
-727,-133,327,15232,4872,-3932,2019-11-02 16:51:45.117129,jimmy
-735,-127,329,15208,4800,-3968,2019-11-02 16:51:45.147240,jimmy
-744,-134,250,15436,5040,-3884,2019-11-02 16:51:45.172625,jimmy
-742,-118,296,15284,4728,-3988,2019-11-02 16:51:45.196145,jimmy
-750,-118,300,15268,4904,-3968,2019-11-02 16:51:45.219403,jimmy
-754,-129,253,15324,4916,-3920,2019-11-02 16:51:45.242729,jimmy
-745,-95,299,15440,4852,-4000,2019-11-02 16:51:45.266679,jimmy
-712,-128,266,15388,4756,-3968,2019-11-02 16:51:45.289827,jimmy
-749,-116,315,15304,4828,-4000,2019-11-02 16:51:45.314054,jimmy
-729,-132,324,15124,4840,-3956,2019-11-02 16:51:45.337662,jimmy
-739,-130,292,15272,4960,-3952,2019-11-02 16:51:45.361372,jimmy
-729,-125,311,15364,4884,-4004,2019-11-02 16:51:45.384800,jimmy
-749,-132,256,15396,4808,-4056,2019-11-02 16:51:45.408505,jimmy
-719,-87,305,15344,4772,-3960,2019-11-02 16:51:45.432523,jimmy
-738,-104,324,15332,4624,-3996,2019-11-02 16:51:45.455765,jimmy
